"Movement","File","NumColors","AvgR","AvgG","AvgB","Gray0","Gray25","Gray50","Gray75","Gray100","Gray125","Gray150","Gray175","Gray200","Gray225","Red0","Red25","Red50","Red75","Red100","Red125","Red150","Red175","Red200","Red225","Green0","Green25","Green50","Green75","Green100","Green125","Green150","Green175","Green200","Green225","Blue0","Blue25","Blue50","Blue75","Blue100","Blue125","Blue150","Blue175","Blue200","Blue225"
"Aivazovskii","BeregMoria",0.670322580645161,-1.68,-1.48031496062992,-1.62055335968379,-1.88596981553941,-1.44514106583072,-0.8973185088293,-1.16270482344796,-0.257299797629373,0.69047619047619,-0.630742391936422,-0.756159728122345,-1.11570247933884,-1.99570723331187,-1.76637625040336,-1.38247011952191,-0.922142462727775,0.65615141955836,-0.249657064471879,-0.742994877975294,-0.346859032161106,-0.683521845198492,-1.10679611650485,-2,-1.90572033898305,-1.49585635359116,-1.19229679977344,-1.26536378620203,-0.335651648019353,-0.0893796004206099,-0.454326923076923,-0.833420365535248,-0.752777777777778,-1.93356861116878,-1.79887036781926,-1.34081213461842,-1.40165456694243,2,0.423764214434904,-0.977136827295111,-1.82111917583704,-1.91127316924947,-1.98998748435544,-2
"Aivazovskii","BespokoynoeMore",-1.09225806451613,0.56,0.881889763779528,1.14624505928854,-1.93236444941308,-1.6512539184953,-1.34728580771746,-1.65751211631664,-1.40792136455623,-1.47058823529412,-1.71855010660981,-1.10960067969414,1.79338842975207,0.895041854475209,-1.82058728622136,-1.48366533864542,-1.57040309221425,-1.28286014721346,-1.45313214449017,-1.72762880385658,-1.72467688608356,-1.04280328232424,0.698504329572291,0.909615384615385,-1.94544491525424,-1.74861878453039,-1.51741716227698,-1.62420532140334,-1.38675536740248,-1.54048370136698,-1.68910256410256,-1.22715404699739,1.78472222222222,0.930454639817314,-1.91293566606971,-1.62521725391057,-1.67921661320277,-1.6360767814883,-1.61475980505918,-1.34294759057334,-1.67876375556076,-1.40808264965056,2,0.682859508694452
"Aivazovskii","BoiParahodomVestaSTuretskimBronenostsem",-0.599354838709677,1.344,1.43307086614173,1.52569169960474,-1.91447736165456,-1.92554858934169,-1.81556572923479,-1.80521578582968,-1.34778837814397,-1.17086834733894,-1.49525101763908,-1.02803738317757,0.309917355371901,2,-1.90513068731849,-1.89800796812749,-1.96355604638321,-1.77707676130389,-1.01966163694559,-1.43597469117204,-1.21130147279832,-1.24683965402528,0.102335345053792,2,-1.92161016949153,-1.93301104972376,-1.91277258566978,-1.82670120084766,-1.26821892954339,-1.39747634069401,-1.45192307692308,-1.08302872062663,0.159722222222222,2,-1.83854525416724,-1.93237478274609,-1.86155664359277,-1.48987641335788,-1.55349268971919,-1.42455153007387,-1.57480683680637,-1.22212093588575,1.01576971214018,2
"Aivazovskii","Buria",0.295483870967742,0.56,0.535433070866142,0.624505928853755,-2,-2,-2,-1.59381490883914,-1.36976004625614,-0.19187675070028,-0.564838146927699,0.521665250637213,0.447658402203857,-0.737068040352007,-2,-2,-1.98012147984539,-1.51840168243954,-0.880658436213992,-0.105453449834287,-0.7063420498948,-0.625859392326458,-0.572553135659932,0.567307692307692,-2,-1.99516574585635,-1.96035117530445,-1.61761243230516,-1.33595403689144,-0.644584647739222,-0.432692307692308,0.448041775456919,0.393055555555556,-0.913016400249118,-1.9917343986775,-2,-1.97433732905622,-1.90849329476729,-1.65096310048735,-0.400281392894829,-0.0463591664715523,1.89425706472197,0.206758448060075,-1.37951973502622
"Aivazovskii","BuriaNaMore",0.14,0.48,0.850393700787402,-0.324110671936759,-1.86975964225824,-1.20454545454545,-1.29627207325049,-1.32333256404339,-1.18242266551026,-0.854341736694678,-1.48749757704982,0.873973378646276,0.465564738292011,-1.51148315089075,-1.71990964827364,-1.20557768924303,-1.57261181667587,-0.0273396424815983,-0.346593507087334,-1.29617354624887,0.0522993688007214,-1.10223996451541,-0.888480713723432,-0.976923076923077,-1.88241525423729,-1.32182320441989,-1.45284621920136,-1.40663998116317,-1.18475960084669,-1.27655099894848,-1.43108974358974,0.0031331592689295,1.23472222222222,-1.18455470209674,-1.94930431188869,-1.28140306525517,-1.15650852608475,-0.580068367078622,-1.10234393130657,0.706999648258882,0.71318192460782,-1.8869644484959,-2,-2
"Aivazovskii","ChesmenskiiBoyVNoch",0.0270967741935484,-2,-2,-2,-0.472889882615987,-0.637147335423197,0.210595160235448,-0.591276252019386,-0.77421220005782,-1.51820728291317,-1.77282419073464,-1.86179552534693,-1.91597796143251,-1.97080918652071,-1.19135204904808,-0.252589641434263,-0.771949199337383,1.04942166140904,0.117969821673525,-1.55287737270262,-1.69582206191764,-1.66821911732091,-1.51718709000262,-1.55576923076923,-0.285487288135593,-0.904696132596685,-0.0288870008496177,-0.614551448080998,-0.892047172664046,-1.67297581493165,-1.84855769230769,-1.92062663185379,-1.93472222222222,-1.96263234378244,-0.136933461909354,-0.483172697108548,-0.160391693398616,-0.845122271890613,-1.9136690647482,-1.98593035525853,-1.99719035354718,-2,-2,-2
"Aivazovskii","DeviatiyVal",0.420645161290323,-0.384,-0.645669291338583,-0.940711462450593,-1.68865287870319,-1.51018808777429,-0.15565729234794,-0.688206785137318,0.736050881757733,0.686274509803922,-1.38670284938942,-1.69300481450014,-1.70110192837466,-1.97853616655935,-1.68312358825428,-1.55537848605578,-0.978464936499172,-0.593059936908517,-0.555098308184728,-0.912925579993974,-0.896302975653742,-0.622310933688179,-0.248228811335607,-1.4125,-1.70550847457627,-1.57182320441989,-0.38006230529595,0.202024958794443,1.31297248261264,-0.960042060988433,-1.61858974358974,-1.75770234986945,-1.7375,-1.95931077434088,-1.53822840611654,-1.22262600726813,2,-0.19300552195635,-2,-2,-2,-2,-2,-2
"Aivazovskii","NochNaMore",0.960645161290323,-0.576,-0.519685039370079,-0.00790513833992095,-1.89155953046395,-0.907523510971787,0.21190320470896,-0.414031848603739,0.442324371205551,-0.324929971988796,-1.40608645086257,-1.62276975361088,-1.81129476584022,-1.94848679974243,-1.04485317844466,-0.531474103585657,-0.628382109331861,1.17560462670873,0.390489254686786,-1.29496836396505,-1.44815148782687,-1.67975160789532,-1.83626344791393,-1.8625,-1.91949152542373,-1.1457182320442,-0.0832625318606627,-0.384742170944196,0.64408829755065,-0.628811777076761,-1.34535256410256,-1.65535248041775,-1.81666666666667,-1.95598920489931,-1.97134591541535,-1.83883709906778,-1.3057572176262,-0.740993952143045,-0.795080064980274,2,0.245844064621868,-1.28896991795807,-1.94793491864831,-1.99889594258901
"Aivazovskii","ParusnikVMore",-0.211612903225806,-0.608,-0.188976377952756,0.0395256916996047,-2,-1.99373040752351,-0.960104643557881,-1.27994461112393,0.965018791558254,2,-0.00736576855979841,-1.96828094024356,-2,-2,-1.97612132946112,-1.19123505976096,-0.238542241855329,1.12723449001052,1.94147233653406,1.25760771316662,-1.88698527201683,-2,-2,-2,-2,-2,-1.36561880487114,-1.32564162938545,-0.529180526156637,2,0.625,-1.95195822454308,-2,-2,-2,-1.97977563596145,-1.90545331757555,-0.724165132789903,-0.705035971223022,-1.08688005627858,2,0.394408994226679,-1.96095118898623,-2
"Aivazovskii","ProshchanieASPushkinaSMorem",-0.434838709677419,1.328,1.00787401574803,0.339920948616601,-1.87199552822806,-1.1653605015674,-0.358404185742315,-1.0196168936072,-0.929170280427869,0.189075630252101,-0.595076565225819,-0.137638062871708,-1.93801652892562,-2,-1.47144240077444,-1.01513944223108,-1.02263942573164,-0.773922187171398,-0.840420667581161,-0.694787586622477,-0.146077547339946,-0.589487691284099,-1.2642351088953,-1.9875,-1.98516949152542,-1.30317679558011,-0.565845369583687,-0.920649870496821,-0.777139401270033,-0.415352260778128,-0.404647435897436,-0.312271540469974,-1.93888888888889,-2,-1.9344262295082,-1.18028124506241,-0.997805166300861,-0.32868787799106,-0.0422371779995359,1.32043615898699,-1.29665183797705,-2,-2,-2
